trajectory,gamma_mps,k,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_retention_ratio,e_match_rate,v_match_rate,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
4862222,2.0,2,670,4,3,486,201,7.4961439588688945,0.41358024691358025,0.005,0.08695652173913043,9.39567901234568,nan,nan
4862380,2.0,2,660,3,2,522,107,19.21472392638037,0.2049808429118774,0.030612244897959183,1.0,9.021072796934867,nan,nan
4865550,2.0,2,642,5,5,382,116,12.0,0.3036649214659686,0.0,0.9375,11.689528795811517,nan,nan
4865558,2.0,2,649,5,4,503,177,10.702127659574469,0.3518886679920477,0.11450381679389313,0.92,13.745924453280317,nan,nan
4912927,2.0,2,674,2,1,638,202,11.6,0.3166144200626959,0.038461538461538464,0.19736842105263158,10.210031347962383,nan,nan
4915833,2.0,2,675,4,3,479,123,15.451612903225806,0.2567849686847599,0.017094017094017096,1.0,12.03152400835073,nan,nan
4940890,2.0,2,683,3,2,530,119,17.569060773480665,0.22452830188679246,0.036036036036036036,0.9285714285714286,12.559622641509435,nan,nan
5244934,2.0,2,656,6,6,274,38,17.869565217391305,0.1386861313868613,0.08823529411764706,0.8888888888888888,20.433576642335765,nan,nan
5351422,2.0,2,654,4,3,487,116,16.415730337078653,0.23819301848049282,0.0,1.0,15.153798767967144,nan,nan
5477477,2.0,2,678,2,2,586,148,14.17741935483871,0.2525597269624573,0.00684931506849315,0.24074074074074073,8.997952218430035,nan,nan
5499001,2.0,2,670,2,1,632,202,11.77639751552795,0.31962025316455694,0.0,0.37037037037037035,10.555063291139241,nan,nan
5503058,2.0,2,916,6,5,414,88,16.025806451612905,0.21256038647342995,0.011494252873563218,1.0,14.456280193236713,nan,nan
5503168,2.0,2,695,6,5,336,50,19.96039603960396,0.1488095238095238,0.14285714285714285,0.8,18.386904761904763,nan,nan
5503359,2.0,2,716,6,6,319,42,21.75,0.13166144200626959,0.13333333333333333,0.7777777777777778,10.050783699059561,nan,nan
5540718,2.0,2,663,6,6,333,56,18.163636363636364,0.16816816816816818,0.018867924528301886,1.0,10.612312312312312,nan,nan
5540722,2.0,2,691,5,5,426,47,26.905263157894737,0.11032863849765258,0.044444444444444446,1.0,9.006103286384976,nan,nan
5540733,2.0,2,641,4,3,490,90,20.416666666666668,0.1836734693877551,0.023255813953488372,0.9090909090909091,8.691020408163267,nan,nan
5540847,2.0,2,869,6,6,375,53,22.058823529411764,0.14133333333333334,0.06818181818181818,0.8888888888888888,8.221866666666665,nan,nan
5547018,2.0,2,649,6,5,388,79,15.52,0.2036082474226804,0.025974025974025976,0.9230769230769231,12.262113402061855,nan,nan
5565253,2.0,2,670,4,5,385,52,24.0625,0.13506493506493505,0.14634146341463414,0.875,9.193246753246754,nan,nan
5615881,2.0,2,1051,6,6,357,92,11.966480446927374,0.25770308123249297,0.03409090909090909,0.4,10.280672268907562,nan,nan
5615968,2.0,2,642,6,5,378,91,14.0,0.24074074074074073,0.1095890410958904,1.0,11.024603174603175,nan,nan
5615986,2.0,2,685,5,4,343,65,17.440677966101696,0.18950437317784258,0.03278688524590164,1.0,10.081924198250729,nan,nan
5615988,2.0,2,671,6,5,356,64,17.225806451612904,0.1797752808988764,0.06779661016949153,1.0,10.974719101123595,nan,nan
5616015,2.0,2,657,2,1,624,148,15.21951219512195,0.23717948717948717,0.0,0.9583333333333334,8.145673076923076,nan,nan
5633515,2.0,2,663,6,5,410,84,15.974025974025974,0.2048780487804878,0.1044776119402985,0.9285714285714286,12.028536585365853,nan,nan
5692189,2.0,2,1527,6,5,401,79,15.623376623376624,0.1970074812967581,0.08571428571428572,0.9285714285714286,12.113216957605983,nan,nan
