trajectory,strategy,capacity,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point,eviction_hit_rate
10934834,pure_dp,0,6.0,242,1,0,242,8,30.25,29.588790579474196,84.71139623224774,2.4925619834710746,2.458677685950413,2.4962809917355373,nan
10934933,pure_dp,0,6.0,423,1,0,423,8,52.875,32.34414508202247,106.92200686019928,3.0139479905437354,2.7130023640661936,3.620567375886525,nan
10935081,pure_dp,0,6.0,278,1,0,278,5,55.6,46.29896226176771,129.3106876026895,1.4683453237410071,1.4611510791366906,1.612230215827338,nan
10935136,pure_dp,0,6.0,308,1,1,261,3,87.0,60.85163620407968,138.36283216062105,1.2528735632183907,1.2509578544061302,1.2597701149425289,nan
10935148,pure_dp,0,6.0,237,2,3,66,4,16.5,20.54641712988889,52.437392740925276,0.6151515151515152,0.6151515151515152,0.6227272727272728,nan
10935358,pure_dp,0,6.0,636,4,3,506,27,18.74074074074074,16.725486756155362,98.57684452551555,2.8786561264822135,2.623320158102767,2.9666007905138336,nan
10935638,pure_dp,0,6.0,228,1,0,228,4,57.0,58.1990607481123,112.67885165823557,1.3745614035087719,1.3697368421052631,1.394736842105263,nan
10935844,pure_dp,0,6.0,607,1,0,607,33,18.393939393939394,16.341844144553026,142.48671479738425,5.467874794069193,5.17990115321252,5.751235584843492,nan
10969051,pure_dp,0,6.0,601,1,0,601,53,11.339622641509434,7.643306860925676,39.85447675332679,4.851247920133111,4.401331114808652,5.028618968386023,nan
11058912,pure_dp,0,6.0,601,1,0,601,46,13.065217391304348,13.034010918374843,83.38484316090218,5.232113144758736,5.101663893510815,5.23261231281198,nan
11071635,pure_dp,0,6.0,423,2,1,377,16,23.5625,29.65223155995963,163.25993620388934,2.9172413793103447,2.9026525198938993,2.920954907161804,nan
11071677,pure_dp,0,6.0,459,2,1,406,7,58.0,84.21877697609459,290.7070638981604,1.8719211822660098,1.3298029556650246,2.1199507389162564,nan
11071727,pure_dp,0,6.0,411,1,0,411,9,45.666666666666664,44.2004052398178,172.9202998774528,2.589537712895377,2.5413625304136254,3.3090024330900243,nan
11071733,pure_dp,0,6.0,257,1,0,257,13,19.76923076923077,17.165937222050864,64.19776314201546,3.0556420233463033,3.0536964980544745,3.1544747081712066,nan
11071965,pure_dp,0,6.0,535,3,2,448,14,32.0,53.380336256083275,243.35852233588605,1.7741071428571427,1.7546875,2.1225446428571426,nan
11092058,pure_dp,0,6.0,446,1,1,399,13,30.692307692307693,56.499574654932196,256.85620012607563,3.1305764411027566,2.99874686716792,3.489974937343358,nan
11092072,pure_dp,0,6.0,247,1,0,247,17,14.529411764705882,14.183511058010156,53.84396506223313,3.266801619433198,3.248987854251012,3.3101214574898785,nan
4300268,pure_dp,0,6.0,961,5,4,431,17,25.352941176470587,28.157114965222725,106.61596574724683,1.5331786542923433,1.5192575406032482,1.716937354988399,nan
4303167,pure_dp,0,6.0,610,3,2,518,16,32.375,77.00899167586694,223.9821776766276,2.031081081081081,2.005984555984556,2.3754826254826256,nan
4303201,pure_dp,0,6.0,600,1,0,600,43,13.953488372093023,17.95388430692039,125.11379402149649,4.165500000000001,4.0168333333333335,4.71,nan
4326816,pure_dp,0,6.0,606,4,4,446,17,26.235294117647058,31.501593985527673,174.42698224621725,1.896188340807175,1.8374439461883407,2.424439461883408,nan
4453473,pure_dp,0,6.0,610,3,2,512,40,12.8,36.76354793801061,142.11900412662575,2.2126953125,2.1873046875,2.2603515625,nan
4636267,pure_dp,0,6.0,624,4,3,474,20,23.7,20.73178129229098,78.11432812510847,1.9234177215189874,1.9084388185654009,2.009071729957806,nan
4652239,pure_dp,0,6.0,601,4,4,432,19,22.736842105263158,25.59941178595681,126.04616503938539,1.5930555555555557,1.5800925925925926,1.5958333333333332,nan
4660369,pure_dp,0,6.0,640,3,2,523,33,15.848484848484848,18.964670574771706,85.96659360766922,3.090630975143404,3.0623326959847033,3.5499043977055447,nan
4748312,pure_dp,0,6.0,624,5,4,435,12,36.25,28.265840304051576,83.16560948419958,1.0420689655172415,1.0363218390804598,1.2806896551724138,nan
4748313,pure_dp,0,6.0,770,3,2,465,24,19.375,15.548679715109051,61.508918253362296,3.918494623655914,3.43505376344086,4.263225806451613,nan
4779685,pure_dp,0,6.0,669,5,4,405,23,17.608695652173914,7.528339363987048,36.84572296690049,2.221975308641975,2.1244444444444444,2.276543209876543,nan
4792372,pure_dp,0,6.0,609,3,3,455,10,45.5,45.21662400924388,159.33572473859013,1.0021978021978022,0.9874725274725275,1.0437362637362637,nan
4793806,pure_dp,0,6.0,609,4,3,441,19,23.210526315789473,33.95789877958816,130.00936986780772,1.9482993197278913,1.939455782312925,1.9727891156462585,nan
4798549,pure_dp,0,6.0,661,5,4,447,27,16.555555555555557,12.361031045402672,135.86342511559042,2.6615212527964207,2.581879194630872,2.678076062639821,nan
4944723,pure_dp,0,6.0,650,5,5,292,20,14.6,7.50487433933387,31.81519408268973,2.127739726027397,2.109931506849315,2.1308219178082193,nan
4981908,pure_dp,0,6.0,251,1,0,251,5,50.2,102.74645328163959,231.0615049495124,1.5597609561752988,1.5557768924302788,1.595617529880478,nan
5084249,pure_dp,0,6.0,600,1,0,600,24,25.0,44.896421740110625,306.09847681685676,4.045166666666667,3.7568333333333332,4.2668333333333335,nan
5133027,pure_dp,0,6.0,628,4,4,395,19,20.789473684210527,23.265340771827976,107.28687271563642,2.4159493670886074,2.4043037974683545,2.4637974683544304,nan
5285957,pure_dp,0,6.0,387,1,0,387,8,48.375,31.419704314265342,138.06689660384163,2.574677002583979,2.5493540051679586,2.5984496124031007,nan
5286334,pure_dp,0,6.0,342,1,0,342,18,19.0,17.57541910590051,81.99466553299006,3.2584795321637428,3.0140350877192983,3.309941520467836,nan
5395622,pure_dp,0,6.0,231,2,1,198,16,12.375,21.78298353035234,114.14708398116879,3.4939393939393937,3.335858585858586,3.8055555555555554,nan
5538668,pure_dp,0,6.0,617,1,0,617,49,12.591836734693878,9.030946354394816,103.61570576985979,5.255753646677472,4.984764991896272,5.353970826580227,nan
5670672,pure_dp,0,6.0,264,3,2,145,10,14.5,3.3972742898454955,11.17049400722078,2.2358620689655173,1.846206896551724,2.38551724137931,nan
5729758,pure_dp,0,6.0,253,1,0,253,13,19.46153846153846,10.995627238231023,83.76956809340213,3.452569169960474,3.1383399209486167,3.8664031620553363,nan
5763820,pure_dp,0,6.0,989,4,5,347,23,15.08695652173913,16.172966547627006,97.80061599469764,1.7726224783861673,1.7512968299711817,1.803170028818444,nan
5917923,pure_dp,0,6.0,272,1,0,272,28,9.714285714285714,4.289882353182447,16.448315214076732,4.231985294117647,4.1573529411764705,4.441911764705883,nan
